Job_Title,Salary_Min,Salary_Max,Salary_Mid,Rating,Company_Name,Location,lat,lng,STATE,Industry
Data Analyst,110000,190000,150000,3.9,"Diverse Lynx
3.9","San Jose, CA",37.3019,-121.8486,CA,IT Services
Senior Data Analyst Studio Finance Engineering,110000,190000,150000,4.0,"Netflix
4.0","Los Gatos, CA",37.2303,-121.956,CA,Internet
Data Analyst,110000,190000,150000,3.7,"ServiceNow
3.7","Santa Clara, CA",37.3645,-121.968,CA,Enterprise Software & Network Solutions
"Data Analyst, Product Insights",110000,190000,150000,4.9,"ClearStory Data
4.9","Redwood City, CA",37.5026,-122.2252,CA,Enterprise Software & Network Solutions
Data Analyst with Pl/SQL,110000,190000,150000,3.4,"Radiansys, Inc.
3.4","Santa Clara, CA",37.3645,-121.968,CA,Advertising & Marketing
Data Analyst,110000,190000,150000,3.9,"Accounting Principals
3.9","San Jose, CA",37.3019,-121.8486,CA,Staffing & Outsourcing
Strategic Intelligence Analyst/Data Analyst,110000,190000,150000,-1.0,Rhombus Power Inc.,"Mountain View, CA",37.4,-122.0796,CA,N/A
Microsoft Dynamics CRM Data Analyst,110000,190000,150000,3.7,"IBM
3.7","San Jose, CA",37.3019,-121.8486,CA,IT Services
Data Analyst,110000,190000,150000,5.0,"TechNet Inc.
5.0","San Jose, CA",37.3019,-121.8486,CA,Staffing & Outsourcing
Sr. Data Warehouse Analyst,110000,190000,150000,3.9,"AbbVie
3.9","Sunnyvale, CA",37.3836,-122.0256,CA,Biotech & Pharmaceuticals
Data Analyst,110000,190000,150000,3.3,"Vaco Staffing
3.3","Palo Alto, CA",37.3913,-122.1468,CA,Consulting
"Senior Market Research Analyst, Data Insights",96000,194000,145000,4.1,"Apple
4.1","Santa Clara, CA",37.3645,-121.968,CA,Computer Hardware & Software
Senior Data Analyst (with Business analysis experience),96000,194000,145000,-1.0,Volto Consulting,"Milpitas, CA",37.4339,-121.8921,CA,N/A
Sr Data Analyst,96000,194000,145000,3.8,"eHealth
3.8","Santa Clara, CA",37.3645,-121.968,CA,Insurance Agencies & Brokerages
Sr. HR Data Analyst,96000,194000,145000,3.4,"Cepheid
3.4","Sunnyvale, CA",37.3836,-122.0256,CA,Biotech & Pharmaceuticals
Senior Data Analyst/Data Warehouse Consultant,96000,194000,145000,3.9,"Ampcus Incorporated
3.9","San Jose, CA",37.3019,-121.8486,CA,Consulting
Data Analyst â Junior,96000,194000,145000,5.0,"Staffigo Technical Services, LLC
5.0","San Jose, CA",37.3019,-121.8486,CA,IT Services
DATA Analyst-Remote,99000,178000,138500,-1.0,SGA Inc.,"San Francisco, CA",37.7562,-122.443,CA,Architectural & Engineering Services
Data Analyst,99000,178000,138500,4.1,"Veem
4.1","San Francisco, CA",37.7562,-122.443,CA,Financial Transaction Processing
Operations Data Analyst,99000,178000,138500,4.0,"Coinbase
4.0","San Francisco, CA",37.7562,-122.443,CA,Internet
Product Data Analyst,99000,178000,138500,3.6,"Trifacta
3.6","San Francisco, CA",37.7562,-122.443,CA,Computer Hardware & Software
Data Scientist/Analyst - Wilbur Labs,99000,178000,138500,5.0,"Wilbur Labs
5.0","San Francisco, CA",37.7562,-122.443,CA,Internet
Data Analyst,99000,178000,138500,4.4,"Hinge Health
4.4","San Francisco, CA",37.7562,-122.443,CA,Health Care Services & Hospitals
Marketing Data Analyst,99000,178000,138500,3.3,"User Testing
3.3","San Francisco, CA",37.7562,-122.443,CA,Enterprise Software & Network Solutions
Data Analyst,99000,178000,138500,-1.0,Pair-Tek,"San Francisco, CA",37.7562,-122.443,CA,N/A
Data and Reporting Analyst,99000,178000,138500,3.8,"Shorenstein Realty Services L.P.
3.8","San Francisco, CA",37.7562,-122.443,CA,Real Estate
Business Data Analyst,99000,178000,138500,3.5,"PlushCare
3.5","San Francisco, CA",37.7562,-122.443,CA,Health Care Services & Hospitals
Research Data Analyst,99000,178000,138500,4.1,"UCSF Medical Center
4.1","San Francisco, CA",37.7562,-122.443,CA,Health Care Services & Hospitals
Data Analyst,99000,178000,138500,4.6,"Motiv Power Systems
4.6","San Francisco, CA",37.7562,-122.443,CA,Electrical & Electronic Manufacturing
Data Analyst,99000,178000,138500,4.2,"Upstart
4.2","San Mateo, CA",37.5521,-122.3122,CA,Lending
Business Intelligence Data Modeler/Analyst,99000,178000,138500,4.3,"Credible
4.3","San Francisco, CA",37.7562,-122.443,CA,Lending
Data Studio Analyst,99000,178000,138500,5.0,"Priceonomics
5.0","San Francisco, CA",37.7562,-122.443,CA,Internet
Data Analyst,99000,178000,138500,-1.0,"Applicantz, Inc.","San Francisco, CA",37.7562,-122.443,CA,N/A
Product Data Analyst,99000,178000,138500,3.7,"BOLD
3.7","San Francisco, CA",37.7562,-122.443,CA,Internet
Data Analyst,99000,178000,138500,-1.0,Parsoft LLC,"San Francisco, CA",37.7562,-122.443,CA,N/A
Clinical Data Analyst,99000,178000,138500,4.0,"Flatiron Health
4.0","San Francisco, CA",37.7562,-122.443,CA,Enterprise Software & Network Solutions
Data Analyst,99000,178000,138500,3.9,"thredUP
3.9","Oakland, CA",37.7903,-122.2165,CA,"Department, Clothing, & Shoe Stores"
Data Analyst,99000,178000,138500,3.9,"Artech LLC
3.9","San Francisco, CA",37.7562,-122.443,CA,Staffing & Outsourcing
Data Analyst,99000,178000,138500,3.6,"ICONMA
3.6","San Francisco, CA",37.7562,-122.443,CA,Staffing & Outsourcing
Data Systems Analyst,99000,178000,138500,4.1,"UCSF Medical Center
4.1","San Francisco, CA",37.7562,-122.443,CA,Health Care Services & Hospitals
Data Analyst,99000,178000,138500,4.6,"The Voleon Group
4.6","Berkeley, CA",37.8723,-122.276,CA,Investment Banking & Asset Management
Senior Data Analyst,99000,178000,138500,3.4,"Redfin
3.4","San Francisco, CA",37.7562,-122.443,CA,Real Estate
Data Analyst (College & Foundation Reporting),99000,178000,138500,-1.0,Albany Charter School Network,"Oakland, CA",37.7903,-122.2165,CA,N/A
Senior Data Analyst,99000,178000,138500,4.0,"Twitter
4.0","San Francisco, CA",37.7562,-122.443,CA,Internet
Research Data Analyst,99000,178000,138500,4.1,"UC San Francisco
4.1","San Francisco, CA",37.7562,-122.443,CA,N/A
Senior Lead Data Analytics Analyst,99000,178000,138500,-1.0,"BNP Paribas Investment Partners USA Holdings, Inc.","San Francisco, CA",37.7562,-122.443,CA,N/A
Senior Data Analyst,99000,178000,138500,3.3,"Castlight Health
3.3","San Francisco, CA",37.7562,-122.443,CA,Enterprise Software & Network Solutions
Data/Business Analyst,99000,178000,138500,3.8,"Diversant LLC
3.8","Concord, CA",37.9722,-122.0016,CA,Staffing & Outsourcing
Data Analyst,99000,178000,138500,-1.0,PRO Unlimited @ Facebook,"Menlo Park, CA",37.4686,-122.1672,CA,N/A
Data Analyst - Health,93000,159000,126000,3.4,"Impaq International, Llc
3.4","Oakland, CA",37.7903,-122.2165,CA,Consulting
Operations Data Analyst,93000,159000,126000,5.0,"Turn/River Capital
5.0","San Francisco, CA",37.7562,-122.443,CA,Venture Capital & Private Equity
Data Analyst,93000,159000,126000,3.9,"Diverse Lynx
3.9","San Francisco, CA",37.7562,-122.443,CA,IT Services
"Data Analyst, Data & Analytics (Advanced Analytics) Manager (Multiple Positions)",93000,159000,126000,3.8,"EY
3.8","San Francisco, CA",37.7562,-122.443,CA,Accounting
Data Analyst,93000,159000,126000,4.1,"RGP
4.1","San Francisco, CA",37.7562,-122.443,CA,Consulting
Business Data Analyst - Senior/Director - Work from Remote,93000,159000,126000,2.5,"Vinsari LLC
2.5","San Francisco, CA",37.7562,-122.443,CA,N/A
Market Data Services Analyst,93000,159000,126000,3.2,"Evolver, Inc.
3.2","San Francisco, CA",37.7562,-122.443,CA,IT Services
"Financial Data Analyst, FP&A and Accounting",93000,159000,126000,3.7,"Lyft
3.7","San Francisco, CA",37.7562,-122.443,CA,Computer Hardware & Software
Loan Data Analyst,93000,159000,126000,3.7,"First Republic Bank
3.7","San Francisco, CA",37.7562,-122.443,CA,Banks & Credit Unions
Data and Policy Analyst IV,93000,159000,126000,3.2,"Acumen
3.2","Burlingame, CA",37.586,-122.3669,CA,Federal Agencies
DATA Analyst-Remote,93000,159000,126000,3.7,"Software Guidance & Assistance
3.7","San Francisco, CA",37.7562,-122.443,CA,Staffing & Outsourcing
Business Data Analyst,93000,159000,126000,3.2,"Scale AI
3.2","San Francisco, CA",37.7562,-122.443,CA,Enterprise Software & Network Solutions
"Data Analyst, Growth",93000,159000,126000,4.1,"Omada Health
4.1","San Francisco, CA",37.7562,-122.443,CA,Health Care Services & Hospitals
Data Analyst,93000,159000,126000,3.2,"QuinStreet
3.2","San Mateo, CA",37.5521,-122.3122,CA,Advertising & Marketing
Data Analyst,93000,159000,126000,5.0,"Softova Inc
5.0","San Mateo, CA",37.5521,-122.3122,CA,IT Services
Data Analyst,93000,159000,126000,4.1,"LeadStack
4.1","Foster City, CA",37.5553,-122.2659,CA,IT Services
"Senior Data Analyst, Member Services",93000,159000,126000,4.8,"Chime
4.8","San Francisco, CA",37.7562,-122.443,CA,Banks & Credit Unions
Data Analyst,93000,159000,126000,4.5,"Marin City Health and Wellness Center
4.5","Marin City, CA",37.8711,-122.5137,CA,Health Care Services & Hospitals
Senior Data Analyst,93000,159000,126000,4.1,"TaskRabbit
4.1","San Francisco, CA",37.7562,-122.443,CA,Internet
Junior Data Analyst,93000,159000,126000,5.0,"Staffigo Technical Services, LLC
5.0","San Francisco, CA",37.7562,-122.443,CA,IT Services
Business Data Analyst,93000,159000,126000,3.9,"Diverse Lynx
3.9","San Francisco, CA",37.7562,-122.443,CA,IT Services
"Sr. Data Analyst, Twitter Service Tech",93000,159000,126000,4.0,"Twitter
4.0","San Francisco, CA",37.7562,-122.443,CA,Internet
Data Analyst,93000,159000,126000,4.6,"Ascent
4.6","Daly City, CA",37.6862,-122.4685,CA,Staffing & Outsourcing
Data Analyst,93000,159000,126000,3.4,"Thermo Fisher Scientific
3.4","South San Francisco, CA",37.6536,-122.4197,CA,Biotech & Pharmaceuticals
Data Analyst,93000,159000,126000,3.2,"Net2Source
3.2","San Francisco, CA",37.7562,-122.443,CA,Staffing & Outsourcing
Data Analyst (ETL & Visualization),93000,159000,126000,3.1,"FOCUSKPI INC
3.1","San Francisco, CA",37.7562,-122.443,CA,Advertising & Marketing
Business Data Analyst,93000,159000,126000,3.1,"Scale AI
3.1","San Francisco, CA",37.7562,-122.443,CA,Enterprise Software & Network Solutions
Data Analyst,93000,159000,126000,3.2,"QuinStreet
3.2","Foster City, CA",37.5553,-122.2659,CA,Advertising & Marketing
"IT Data Analyst, Consultant",93000,159000,126000,4.1,"Blue Shield of California
4.1","Oakland, CA",37.7903,-122.2165,CA,Insurance Carriers
"Financial Data Analyst, Accounting",93000,159000,126000,3.7,"Lyft
3.7","San Francisco, CA",37.7562,-122.443,CA,Computer Hardware & Software
Data Analyst,93000,159000,126000,-1.0,Atlantis IT group,"Oakland, CA",37.7903,-122.2165,CA,N/A
Sr. Data Analyst - BI,93000,159000,126000,-1.0,"A.P.R., Inc.","San Francisco, CA",37.7562,-122.443,CA,N/A
Data Analyst,93000,159000,126000,4.0,"Swinerton Builders
4.0","Concord, CA",37.9722,-122.0016,CA,Construction
Data Analyst,93000,159000,126000,4.2,"CyberCoders
4.2","Redwood City, CA",37.5026,-122.2252,CA,Staffing & Outsourcing
Data Analyst,93000,159000,126000,2.3,"The Rockridge Group
2.3","Concord, CA",37.9722,-122.0016,CA,N/A
BI Business/Data Analyst Lead with hands on SQL,114000,134000,124000,3.2,"Yochana
3.2","Mountain View, CA",37.4,-122.0796,CA,Staffing & Outsourcing
System and Data Analyst,113000,132000,122500,2.9,"Pacific Clinics
2.9","Arcadia, CA",34.1342,-118.0373,CA,Health Care Services & Hospitals
Service Operations Data Analyst,113000,132000,122500,5.0,"Quinn Group
5.0","City of Industry, CA",34.1139,-118.4068,CA,N/A
SAP Master Data Analyst,113000,132000,122500,-1.0,DT Professional Services,"Los Angeles, CA",34.1139,-118.4068,CA,N/A
Business Analyst Asset Data Management,113000,132000,122500,4.0,"NRC INC
4.0","Los Angeles, CA",34.1139,-118.4068,CA,N/A
Sr Digital Marketing Data Analyst (PAID SOCIAL),113000,132000,122500,5.0,"LaBine & Associates
5.0","Santa Monica, CA",34.0232,-118.4813,CA,Staffing & Outsourcing
19-0574 - Service Operations Data Analyst,113000,132000,122500,3.3,"Quinn Company CAT
3.3","City of Industry, CA",34.1139,-118.4068,CA,Commercial Equipment Repair & Maintenance
Discovery Data Analyst,113000,132000,122500,2.9,"NTT DATA, Inc.
2.9","Burbank, CA",34.1879,-118.3235,CA,Accounting
"Analyst, Financial Master Data",113000,132000,122500,5.0,"WB Technology
5.0","Burbank, CA",34.1879,-118.3235,CA,N/A
Data Analyst-HEDIS & Star,113000,132000,122500,3.2,"SCAN Health Plan
3.2","Long Beach, CA",33.7981,-118.1675,CA,Insurance Carriers
Music Copyright Data Analyst,113000,132000,122500,3.3,"AppleOne
3.3","Woodland Hills, CA",34.1139,-118.4068,CA,Staffing & Outsourcing
Sr. Data Analyst,113000,132000,122500,3.8,"Login Consulting Services
3.8","El Segundo, CA",33.9169,-118.4021,CA,Consulting
Sr. Data Analyst,113000,132000,122500,-1.0,Shapestone Inc.,"Burbank, CA",34.1879,-118.3235,CA,N/A
Sr. Data Governance Analyst,113000,132000,122500,4.0,"Lorven Technologies Inc
4.0","Arcadia, CA",34.1342,-118.0373,CA,Accounting
"Data Analyst - Health, Senior",113000,132000,122500,4.1,"Blue Shield of California
4.1","Woodland Hills, CA",34.1139,-118.4068,CA,Insurance Carriers
Data Analyst-HEDIS & Star,113000,132000,122500,-1.0,SCAN Healthplan,"Long Beach, CA",33.7981,-118.1675,CA,N/A
Data Entry Clerk and Analyst - Financial,113000,132000,122500,2.8,"Information Technology Partners
2.8","Burbank, CA",34.1879,-118.3235,CA,IT Services
"Analyst, Financial Master Data",113000,132000,122500,3.9,"Warner Bros. Entertainment
3.9","Burbank, CA",34.1879,-118.3235,CA,Motion Picture Production & Distribution
Senior Clinical Data Analyst,113000,132000,122500,3.4,"Providence Health & Services
3.4","Gardena, CA",33.8944,-118.3073,CA,Health Care Services & Hospitals
Sr. Data Analyst (Pharmacy),113000,132000,122500,3.1,"Molina Healthcare
3.1","Long Beach, CA",33.7981,-118.1675,CA,Insurance Carriers
"Sr Analyst, Data",113000,132000,122500,3.1,"Molina Healthcare
3.1","Long Beach, CA",33.7981,-118.1675,CA,Insurance Carriers
Systems and Data Analyst,113000,132000,122500,2.4,"To Help Everyone Health & Wellness Centers
2.4","Los Angeles, CA",34.1139,-118.4068,CA,N/A
"Analyst, Financial Master Data",113000,132000,122500,3.7,"Turner Broadcasting
3.7","Burbank, CA",34.1879,-118.3235,CA,TV Broadcast & Cable Networks
Copyright Data Analyst,113000,132000,122500,3.3,"AppleOne
3.3","Woodland Hills, CA",34.1139,-118.4068,CA,Staffing & Outsourcing
LIMS Master Data Analyst,113000,132000,122500,4.6,"USDM Life Sciences
4.6","Santa Monica, CA",34.0232,-118.4813,CA,Consulting
Data Analyst *Temp-Hire*,113000,132000,122500,2.9,"SkillsetGroup - Professional Staffing Solutions
2.9","Pico Rivera, CA",33.9902,-118.0888,CA,Staffing & Outsourcing
"QM DATA ANALYST II, WHITTIER, FULL TIME DAYS",113000,132000,122500,3.6,"PIH Health
3.6","Whittier, CA",33.9678,-118.0188,CA,Health Care Services & Hospitals
Radar Telemetry Data Analyst - RT,113000,132000,122500,-1.0,KLM Careers,"Anaheim, CA",33.839,-117.8572,CA,N/A
Sr. Data Analyst — US Safety,113000,132000,122500,3.8,"TikTok
3.8","Los Angeles, CA",34.1139,-118.4068,CA,Internet
Data Analyst - Marketing Analytics,113000,132000,122500,3.4,"Mercury Insurance Group
3.4","Brea, CA",33.9254,-117.8656,CA,Insurance Carriers
Senior Data Analyst (Telework Available),93000,152000,122500,4.3,"Archimedes Global
4.3","Alexandria, VA",38.8185,-77.0861,VA,Consulting
Database Administrator R-00036282 Database Administrator (DBA)/ Data Analyst (Closed),93000,152000,122500,3.5,"Leidos
3.5","Reston, VA",38.9497,-77.3461,VA,Aerospace & Defense
Senior Medical Data Analyst,93000,152000,122500,3.2,"Cystic Fibrosis Foundation
3.2","Bethesda, MD",38.9866,-77.1188,MD,Health Fundraising Organizations
Jr. Data Protection Cybersecurity Analyst,93000,152000,122500,3.7,"Triumph Enterprises
3.7","Bethesda, MD",38.9866,-77.1188,MD,Federal Agencies
Data Analyst (Expert) TS/SCI with poly with Security Clearance,93000,152000,122500,3.5,"Leidos
3.5","Herndon, VA",38.9699,-77.3867,VA,Aerospace & Defense
ServiceNow Data Visualization Analyst *Sign On Bonus*,93000,152000,122500,3.6,"CACI International
3.6","Chantilly, VA",38.8868,-77.4453,VA,Aerospace & Defense
Public Safety Communications Data Science Analyst (Senior Consultant),93000,152000,122500,4.5,"Corner Alliance
4.5","Reston, VA",38.9497,-77.3461,VA,Consulting
Data Exploitation Analyst (Senior),93000,152000,122500,2.6,"Salient CRGT
2.6","Mc Lean, VA",36.7335,-76.0435,VA,Enterprise Software & Network Solutions
Mid-level Data Scientist/Data Analyst (SAS),93000,152000,122500,3.7,"22nd Century Technologies
3.7","Arlington, VA",38.8786,-77.1011,VA,IT Services
Data Analyst / Operations Research Analyst,93000,152000,122500,-1.0,"York & Whiting, LLC","Fort Meade, MD",39.1058,-76.7438,MD,Federal Agencies
Senior Data Science & Tagging Analyst,93000,152000,122500,3.7,"SAIC
3.7","Bethesda, MD",38.9866,-77.1188,MD,Enterprise Software & Network Solutions
Information Assurance Data Security Analyst,93000,152000,122500,4.9,"GCubed
4.9","Rockville, MD",39.0834,-77.1552,MD,IT Services
Data Science & Tagging Analyst with Security Clearance,93000,152000,122500,2.8,"Xator Corporation
2.8","Bethesda, MD",38.9866,-77.1188,MD,IT Services
Project Data Analyst I (Military Pay Tech experience with Active Secret Clearance required),93000,152000,122500,3.3,"Akima Management Services
3.3","Chantilly, VA",38.8868,-77.4453,VA,Aerospace & Defense
Senior Data Analyst with Security Clearance,93000,152000,122500,3.4,"Guidehouse
3.4","Washington, DC",38.9047,-77.0163,DC,Consulting
F-35 Enterprise Data Analyst - Senior with Security Clearance,93000,152000,122500,-1.0,ACT I - Advanced Concepts and Technologies International LLC,"Arlington, VA",38.8786,-77.1011,VA,N/A
Senior Data Analyst,93000,152000,122500,3.7,"Lumen Solutions Inc
3.7","Reston, VA",38.9497,-77.3461,VA,IT Services
Data Analyst / Systems Engineer,93000,152000,122500,3.1,"Gryphon Technologies
3.1","Washington, DC",38.9047,-77.0163,DC,Aerospace & Defense
Data Sharing Senior Business Analyst - Manager,93000,152000,122500,3.4,"Guidehouse
3.4","Washington, DC",38.9047,-77.0163,DC,Consulting
Customer Relationship Manager - Data Analyst SME (DODP7),93000,152000,122500,4.4,"E3 Federal Solutions
4.4","Alexandria, VA",38.8185,-77.0861,VA,Consulting
Data Analyst - CRM - (Secret) DODF6,93000,152000,122500,4.4,"E3 Federal Solutions
4.4","Alexandria, VA",38.8185,-77.0861,VA,Consulting
Senior Data Strategy Analyst,93000,152000,122500,3.5,"Electronic Consulting Services, Inc.
3.5","Washington, DC",38.9047,-77.0163,DC,IT Services
Senior SAP MM/Master Data Analyst - Clearance Required,93000,152000,122500,4.0,"LMI
4.0","Fort Belvoir, VA",38.7119,-77.1459,VA,Consulting
Data Management Analyst / Digital Strategy / Research / Navy,93000,152000,122500,5.0,"Strategic Insight LTD
5.0","Washington, DC",38.9047,-77.0163,DC,N/A
Data Analyst Trainer/Instructor,93000,152000,122500,3.0,"CENTRA Technology
3.0","Washington, DC",38.9047,-77.0163,DC,IT Services
Senior Data Analyst,93000,152000,122500,5.0,"Alliance Global Tech Inc.
5.0","Reston, VA",38.9497,-77.3461,VA,N/A
"Senior Analyst, IT Data & Analytics",93000,152000,122500,-1.0,Aurinia Pharmaceuticals,"Rockville, MD",39.0834,-77.1552,MD,N/A
Scientific Program Analyst (Data Analysis),93000,152000,122500,3.6,"GAP Solutions Inc
3.6","Rockville, MD",39.0834,-77.1552,MD,Consulting
Data Management Analyst with Security Clearance,93000,152000,122500,3.9,"Octo Consulting Group
3.9","Washington, DC",38.9047,-77.0163,DC,Consulting
Analyst / Data Scientist with Security Clearance,93000,152000,122500,3.8,"ALL NATIVE GROUP
3.8","Fairfax, VA",38.8531,-77.2998,VA,IT Services
Data Analyst (CyberSpace),81000,163000,122000,3.7,"IDS International
3.7","Fort Meade, MD",39.1058,-76.7438,MD,Security Services
Data Security Analyst,81000,163000,122000,3.5,"Mathematica Policy Research
3.5","Woodlawn, MD",39.3054,-76.7489,MD,Consulting
Sr. Research Data Analyst,81000,163000,122000,4.1,"Johns Hopkins University
4.1","Baltimore, MD",39.3051,-76.6144,MD,Colleges & Universities
Data Analyst - MS-Access - Clearance Required,81000,163000,122000,4.1,"SURVICE Engineering Company
4.1","Aberdeen Proving Ground, MD",39.4673,-76.1308,MD,Aerospace & Defense
Senior Data Analyst - Health Care Innovation,81000,163000,122000,3.4,"Impaq International, Llc
3.4","Columbia, MD",39.2004,-76.859,MD,Consulting
Senior Data Analyst,81000,163000,122000,5.0,"Authority Brands
5.0","Columbia, MD",39.2004,-76.859,MD,Consulting
Data Management Configuration Analyst,81000,163000,122000,4.2,"Hepco
4.2","Baltimore, MD",39.3051,-76.6144,MD,Accounting
"Data Analyst, Mid Level (27-01)",81000,163000,122000,4.4,"FREEDOM CONSULTING GROUP
4.4","Annapolis Junction, MD",39.3051,-76.6144,MD,IT Services
Client Success Data Analyst,81000,163000,122000,4.5,"Vheda Health
4.5","Columbia, MD",39.2004,-76.859,MD,Health Care Services & Hospitals
Data Analyst - Infrastructure,81000,163000,122000,3.6,"Vision
3.6","Owings Mills, MD",39.4115,-76.7913,MD,Advertising & Marketing
Transportation Data Analyst,81000,163000,122000,-1.0,VSE Corporation NEW,"Columbia, MD",39.2004,-76.859,MD,N/A
Data Analyst - Junior,81000,163000,122000,5.0,"Staffigo Technical Services, LLC
5.0","Baltimore, MD",39.3051,-76.6144,MD,IT Services
Senior Consultant - Intelligence Data Analyst - SQL Server Environment,81000,163000,122000,3.7,"Mind Over Machines
3.7","Baltimore, MD",39.3051,-76.6144,MD,IT Services
Data Analyst / Systems Engineer (Government),81000,163000,122000,3.4,"AT&T
3.4","Columbia, MD",39.2004,-76.859,MD,Telecommunications Services
Environmental Scientist / Data Analyst,81000,163000,122000,2.8,"Versar, Inc.
2.8","Columbia, MD",39.2004,-76.859,MD,Architectural & Engineering Services
research data analyst/statistician,81000,163000,122000,4.5,"Outreach Process Partners
4.5","Annapolis, MD",38.9706,-76.5047,MD,N/A
Data Analyst eCommerce Analytics,81000,163000,122000,-1.0,Sterling Forever,"Towson, MD",39.3944,-76.619,MD,N/A
Data Analyst,81000,163000,122000,3.2,"Net2Source
3.2","Owings Mills, MD",39.4115,-76.7913,MD,Staffing & Outsourcing
Enterprise Data Warehouse Analyst,81000,163000,122000,4.0,"LMI
4.0","Belcamp, MD",39.3051,-76.6144,MD,Consulting
Data Analyst (Information Assurance) - CNODDS with Security Clearance,81000,163000,122000,3.3,"By Light Professional IT Services
3.3","Fort Meade, MD",39.1058,-76.7438,MD,IT Services
Senior Data Analyst (CyberSpace),81000,163000,122000,3.7,"IDS International
3.7","Fort George G Meade, MD",39.3051,-76.6144,MD,Security Services
Lead Data Analyst,81000,163000,122000,4.2,"Eliassen Group
4.2","Owings Mills, MD",39.4115,-76.7913,MD,Staffing & Outsourcing
Data Analyst â Junior,81000,163000,122000,5.0,"Staffigo Technical Services, LLC
5.0","Baltimore, MD",39.3051,-76.6144,MD,IT Services
Program Analyst/Data Analyst (Public Health),81000,163000,122000,3.5,"General Dynamics Information Technology
3.5","Aberdeen Proving Ground, MD",39.4673,-76.1308,MD,IT Services
